landslides,longitude,latitude,date
1,-82.29583333,38.50422667,4/3/2015
1,-83.8625,38.23756,4/3/2015
1,-83.19583333,37.74589334,4/3/2015
2,-82.49583333,37.42922667,4/3/2015
1,-82.49583333,37.41256,4/3/2015
1,74.40416667,34.09589334,4/3/2015
1,74.02916667,34.07922667,4/3/2015
1,77.17916667,32.29589334,4/3/2015
1,-82.29583333,38.50422667,4/4/2015
1,-124.4125,42.33756,4/7/2015
1,74.32916667,34.21256,4/7/2015
1,73.9625,34.66256,4/8/2015
4,-117.6458333,33.44589334,4/9/2015
1,-123.5625,44.41256,4/12/2015
1,-117.1791667,44.26256,4/13/2015
2,-82.8875,37.59589334,4/14/2015
2,-82.7625,37.57922667,4/14/2015
2,-83.2125,37.28756,4/14/2015
1,74.8875,12.86256,4/22/2015
1,151.0041667,-33.82910666,4/22/2015
2,-106.8375,40.47922667,4/27/2015
1,-38.47916667,-12.93744,4/27/2015
2,-38.4875,-12.97910666,4/27/2015
1,79.57916667,30.56256,4/28/2015
1,6.795833333,45.88756,5/2/2015
1,152.5875,-30.37910666,5/2/2015
1,-123.9291667,45.56256,5/9/2015
2,-104.8375,38.92089334,5/13/2015
1,74.4875,33.62922667,5/14/2015
1,-117.0875,32.52089334,5/17/2015
1,-120.2625,44.59589334,5/22/2015
1,-120.2875,44.57089334,5/23/2015
2,-120.1125,48.24589334,5/29/2015
1,-119.3791667,49.88756,6/2/2015
1,45.24583333,42.57089334,6/2/2015
2,-114.6375,45.70422667,6/3/2015
1,174.7791667,-36.86244,6/3/2015
2,-111.4875,36.93756,6/5/2015
1,-118.4708333,35.14589334,6/12/2015
1,72.8375,19.12089334,6/12/2015
1,-118.4708333,35.14589334,6/13/2015
1,88.24583333,27.01256,6/13/2015
1,98.29583333,7.87922667,6/13/2015
2,-78.92916667,40.32922667,6/16/2015
2,-93.80416667,35.71256,6/16/2015
1,90.2125,25.51256,6/16/2015
2,-97.12916667,34.43756,6/18/2015
2,-77.72083333,39.54589334,6/21/2015
1,73.3125,19.02922667,6/22/2015
2,-108.1625,43.50422667,6/24/2015
1,109.8958333,31.09589334,6/24/2015
1,85.0875,28.17089334,6/25/2015
1,84.87083333,28.18756,6/26/2015
1,92.00416667,21.43756,6/26/2015
2,-75.32916667,40.07089334,6/27/2015
1,88.25416667,27.00422667,6/27/2015
2,-119.7708333,38.69589334,7/1/2015
1,88.45416667,27.07089334,7/1/2015
1,88.17083333,26.99589334,7/1/2015
1,-120.1125,42.21256,7/3/2015
2,-104.8541667,38.81256,7/4/2015
1,-83.94583333,10.14589334,7/6/2015
1,-84.00416667,10.07089334,7/6/2015
1,-108.8875,39.22089334,7/8/2015
2,-91.37083333,39.72922667,7/11/2015
1,158.1875,-8.82077333,7/11/2015
2,-80.57083333,40.21256,7/12/2015
1,75.2125,33.25422667,7/12/2015
1,-117.4208333,44.54589334,7/13/2015
2,-80.44583333,38.56256,7/13/2015
2,-80.72083333,38.49589334,7/13/2015
2,-80.4125,38.47922667,7/13/2015
1,78.0375,32.24589334,7/13/2015
1,145.1125,-37.85410666,7/13/2015
2,-82.47083333,36.20422667,7/14/2015
1,74.95416667,12.87089334,7/14/2015
3,145.1125,-37.85410666,7/14/2015
1,-123.7541667,46.18756,7/17/2015
1,121.6875,11.60422667,7/17/2015
1,-84.4625,39.12922667,7/18/2015
1,91.8125,22.35422667,7/18/2015
2,-120.0208333,39.92089334,7/21/2015
2,-81.3125,38.18756,7/21/2015
1,77.75416667,33.73756,7/21/2015
1,77.7625,33.61256,7/21/2015
1,94.04583333,25.44589334,7/22/2015
1,75.42083333,34.25422667,7/24/2015
1,91.80416667,22.42922667,7/26/2015
1,91.82916667,22.35422667,7/27/2015
1,99.24583333,1.395893337,7/27/2015
1,-123.5291667,44.19589334,7/28/2015
1,76.3375,32.22089334,7/31/2015
1,100.2458333,5.295893337,7/31/2015
1,92.74583333,11.67922667,8/6/2015
1,98.37916667,7.820893337,8/10/2015
1,174.7541667,-41.28744,8/10/2015
1,76.32083333,32.19589334,8/11/2015
1,175.3041667,-39.90410666,8/12/2015
1,101.7791667,3.145893337,8/13/2015
1,78.6125,30.78756,8/15/2015
1,-118.9041667,45.85422667,8/16/2015
1,83.62083333,28.25422667,8/16/2015
1,123.8875,10.36256,8/16/2015
1,92.2125,22.18756,8/21/2015
1,151.2208333,-33.90410666,8/25/2015
1,150.8375,-34.70410666,8/25/2015
1,150.5625,-34.78744,8/25/2015
1,150.5708333,-34.79577333,8/25/2015
1,150.4625,-34.87910666,8/25/2015
1,0.4375,52.07089334,8/26/2015
1,150.5125,-34.67910666,8/26/2015
1,150.7208333,-34.76244,8/26/2015
1,-80.02083333,32.85422667,8/31/2015
1,-88.77916667,14.77089334,9/6/2015
1,-88.77083333,14.77089334,9/6/2015
2,-111.6625,40.45422667,9/15/2015
2,-117.5875,33.74589334,9/15/2015
3,-117.5791667,33.74589334,9/15/2015
1,82.79583333,18.77922667,9/16/2015
1,72.82916667,19.46256,9/21/2015
1,91.70416667,26.16256,9/23/2015
1,100.2458333,5.287560004,9/23/2015
1,-84.07916667,9.937560004,9/25/2015
1,80.69583333,7.05422667,9/25/2015
2,80.5875,7.020893337,9/25/2015
1,-85.99583333,13.07922667,9/26/2015
