OBJECTID,landslide_trigger,event_date,latitude,longitude,landslide_size
5689756,rain,2008-08-01 00:00:00,32.5625,107.45,large
5689757,downpour,2009-01-02 02:00:00,45.42,-122.663,small
5689758,downpour,2007-01-19 00:00:00,-11.1295,-75.3587,large
5689761,downpour,2012-02-16 00:00:00,10.7004,124.9668,medium
5689762,downpour,2012-03-30 00:00:00,48.2797,-117.2665,small
5689764,rain,2007-09-05 00:00:00,43.6846,-114.4194,medium
5689765,downpour,2008-11-01 00:00:00,23.89,100.0845,medium
5689766,downpour,2008-11-01 00:00:00,25.0967,102.695,medium
5689767,rain,2009-01-01 22:24:00,45.377,-122.0704,small
5689768,downpour,2009-01-02 20:30:00,12.5655,124.0419,medium
5689769,rain,2009-01-03 00:00:00,45.521,-122.67,small
5689770,rain,2009-01-07 01:41:00.000001,35.507,-83.071,small
5689771,rain,2009-01-07 00:00:00,46.11,-122.893,small
5689772,rain,2009-01-07 00:00:00,47.432,-122.334,small
5689773,downpour,2009-01-07 00:00:00,48.538,-121.75,medium
5689774,rain,2009-01-07 00:00:00,48.72,-122.2,small
5689776,rain,2009-01-08 01:00:00,47.538,-122.273,small
5689777,rain,2009-01-08 06:00:00,48.929,-122.037,small
5689778,downpour,2009-01-13 00:00:00,36.7946,5.765,medium
5689779,rain,2009-01-13 08:50:00,47.7573,-122.2072,small
5689780,rain,2009-01-16 13:00:00,1.531,110.3442,medium
5689781,rain,2009-01-19 23:00:00,-8.5073,116.662,medium
5689782,downpour,2009-01-22 00:00:00,5.031,115.0668,medium
5689783,downpour,2009-01-22 00:00:00,19.4271,-99.1276,medium
5689784,downpour,2009-01-26 00:00:00,40.8403,14.252,medium
5689785,rain,2009-02-06 00:00:00,34.162,-118.05,small
5689786,downpour,2009-07-22 00:00:00,26.8572,88.3143,medium
5689787,downpour,2009-02-07 00:00:00,9.29,123.226,medium
5689788,downpour,2009-09-09 00:00:00,14.545,121.56,medium
5689789,downpour,2009-04-20 09:00:00,37.9137,-79.4305,small
5689792,downpour,2009-07-21 00:00:00,34.0496,131.5729,medium
5689793,downpour,2009-07-22 00:00:00,26.8826,88.2788,medium
5689794,downpour,2009-07-24 00:00:00,34.3852,132.4592,medium
5689795,downpour,2009-07-25 00:00:00,31.483,103.5868,medium
5689796,downpour,2009-07-01 05:40:00,27.478,88.527,medium
5689799,downpour,2009-08-13 00:00:00,8.4841,-13.2287,medium
5689800,downpour,2009-08-23 00:00:00,-41.0528,145.9063,small
5689801,downpour,2009-09-20 18:30:00,56.5561,-132.7269,medium
5689802,downpour,2009-09-22 02:00:00,56.5692,-132.7348,medium
5689803,downpour,2009-09-22 05:00:00,56.5787,-132.5617,medium
5689804,downpour,2009-11-18 00:00:00,47.2846,-122.5562,small
5689805,downpour,2009-11-21 00:00:00,-7.571,109.9187,medium
5689806,downpour,2009-12-09 00:00:00,35.0672,-85.3697,small
5689807,downpour,2009-12-09 00:00:00,35.1052,-85.3361,small
5689808,downpour,2010-01-01 00:00:00,-23.01374445,-44.32249842,large
5689809,downpour,2010-04-05 00:00:00,-22.89234445,-43.07409842,medium
5689810,downpour,2010-07-29 23:00:00,25.3098633,94.48214677,medium
5689811,downpour,2010-08-06 00:00:00,36.66335732,74.87601106000001,medium
5689815,downpour,2011-01-12 00:00:00,-22.2331,-42.6018,very_large
5689816,downpour,2011-05-04 09:00:00,44.9378,-73.0562,small
5689817,downpour,2011-06-29 00:00:00,30.7666,78.7963,medium
5689818,downpour,2011-07-03 00:00:00,27.7394,83.5754,medium
5689819,downpour,2011-07-03 00:00:00,28.3683,83.2934,medium
5689820,downpour,2011-07-03 00:00:00,28.0889,83.2934,medium
